排名,名称,区域,地址,总分,提及,位次,准确,地基,内容,品牌词收录
1,65,杭州莱恩汽车服务有限公司,拱墅区,浙江省杭州市拱墅区石桥街道浙江新华集团经济园,41,3,18,20,0,0,1
2,6,杭州滨欧汽车修理有限公司,滨江区,浙江省杭州市滨江区长河街道南环路1672号,31,0,5,20,4,2,1
3,2,杭州奇众汽车服务有限公司,拱墅区,沈半路402号,29,0,5,20,4,0,1
4,3,杭州杰杭汽车服务有限公司,余杭区,良渚街道首望中心1幢1619室,29,0,5,20,4,0,1
5,9,杭州凯源汽车修配有限公司,拱墅区,庙浜100号2幢1层102室,29,0,5,20,4,0,1
6,15,杭州文良速九汽车科技有限公司,钱塘区,河庄街道杭州萧山同心蔬菜食品厂内二层,29,0,5,20,4,0,1
7,18,杭州捷森汽车服务有限公司,拱墅区,石祥路558号良森名车三楼,29,0,5,20,4,0,1
8,33,杭州车修修汽车服务有限公司,余杭区,五常街道五常大道181号11幢104室,29,0,5,20,4,0,1
9,35,杭州叶子汽修服务有限公司,余杭区,浙江省杭州市余杭区荆长大道白庙工业园10幢,29,0,5,20,4,0,1
10,43,杭州品捷汽车服务有限公司,拱墅区,下康宁街80号电竞中心D座112号,29,0,5,20,4,0,1
11,46,杭州临安兴达汽车销售服务有限公司,临安区,浙江省杭州市临安区S102(吴越街),29,0,5,20,4,0,1
12,52,杭州余杭区良渚广科汽车维修服务部,余杭区,浙江省杭州市余杭区莫干山路2856号,29,0,5,20,4,0,1
13,62,杭州东红汽车维修服务有限公司,余杭区,浙江省杭州市余杭区莫干山路1748号,29,0,5,20,4,0,1
14,64,杭州益康汽车修理服务有限公司,西湖区,浙江省杭州市西湖区荆山岭路1号,29,0,5,20,4,0,1
15,76,杭州市上城区筷子汽车养护服务部,上城区,钱江路497号,29,0,5,20,4,0,1
16,51,杭州建龙汽车修理有限公司,滨江区,浙江省杭州市滨江区浦沿街道至善路8号,27,0,5,20,0,2,1
17,1,杭州欧漫汽车服务有限公司,余杭区,良渚街道金恒路88号浙江金恒德汽车物流广场2幢2-143室,25,0,5,20,0,0,1
18,17,杭州恒悦汽车服务有限公司,西湖区,春森俪湾1幢117、118室,25,0,5,20,0,0,1
19,19,杭州余杭区余杭街道东东汽修服务部,余杭区,浙江省杭州市余杭区凤凰山路15号,25,0,5,20,0,0,1
20,20,杭州新众联汽车服务有限公司,拱墅区,登云路621号,25,0,5,20,0,0,1
21,26,杭州车玻力汽车服务有限公司,上城区,浙江省杭州市上城区塘工局路358号,25,0,5,20,0,0,1
22,28,杭州临安众驰汽车修理厂,临安区,浙江省杭州市临安区玲珑街32号,25,0,5,20,0,0,1
23,29,杭州小樊汽车有限公司,西湖区,西园一路8号4幢1层102室,25,0,5,20,0,0,1
24,34,杭州桦瑞汽车维修服务有限公司,上城区,礼仪巷39号1幢105室、106室,25,0,5,20,0,0,1
25,47,杭州华丽汽车修理有限公司,拱墅区,浙江省杭州市拱墅区康桥街道康政路22号(中电开关内),25,0,5,20,0,0,1
26,27,杭州保利汽车修理有限公司,滨江区,浙江省杭州市滨江区东冠路东冠农贸市场对面,21,0,5,10,4,2,1
27,30,杭州速宜汽车维修有限公司,滨江区,西兴街道楚天路91号一号楼一楼,21,0,5,10,4,2,1
28,5,杭州志鑫汽车服务有限公司,拱墅区,毛竹山96号3幢110室,19,0,5,10,4,0,1
29,8,杭州汉诺威汽车用品有限公司,余杭区,余杭街道智溢路128号2幢1层108室,19,0,5,10,4,0,1
30,11,杭州华硕汽车服务有限公司,余杭区,良渚街道莫干山路2892号、2894号、2896号,19,0,5,10,4,0,1
31,14,浙江金通汽配城犇德汽车修理服务部,拱墅区,金通商务楼106,19,0,5,10,4,0,1
32,32,杭州车匠汽车维修有限公司,萧山区,新街街道海塘路577号6幢-3,19,0,5,10,4,0,1
33,37,杭州新湖汽车维修有限公司,余杭区,仁和街道三星路20号1号楼西1楼4间,19,0,5,10,4,0,1
34,49,杭州中昱汽车维修服务有限公司,,浙江省杭州市钱塘区横三路e74~78号,19,0,5,10,4,0,1
35,54,杭州众禾汽车服务有限公司,富阳区,登城北路79号,19,0,5,10,4,0,1
36,57,杭州一路行汽车修理有限公司,余杭区,浙江省杭州市余杭区良渚街道莫干山路2062-1号103室,19,0,5,10,4,0,1
37,58,杭州浙泰汽车服务有限公司,,杭州市上城区长城街,19,0,5,10,4,0,1
38,66,杭州天众汽车服务有限公司,余杭区,浙江省杭州市余杭区良渚街道莫干山路1778号,19,0,5,10,4,0,1
39,67,杭州迅畅汽车维修服务有限公司,,浙江省杭州市上城区俞章路106号(华中南路地铁站G口步行290米),19,0,5,10,4,0,1
40,70,杭州王军汽车修理有限公司,,杭州市萧山区向阳路向阳嘉苑-西区东南侧约120米,19,0,5,10,4,0,1
41,73,杭州丛浩源汽车服务有限公司,,杭州市余杭区安西线,19,0,5,10,4,0,1
42,42,杭州永畅汽车维修有限公司,,浙江省杭州市拱墅区湖州街16号,17,0,5,10,0,2,1
43,45,杭州路泰宝汽车维修服务有限公司,,浙江省杭州市上城区笕丁支路15号丁桥商务楼路泰宝汽车维修厂,17,0,5,10,0,2,1
44,48,杭州中睿车控股有限公司,,浙江省杭州市萧山区新塘街道萧绍东路129号,17,0,5,10,0,2,1
45,53,杭州朝鸣汽车维修有限公司,滨江区,复兴路363号杭州朝鸣汽车维修有限公司,17,0,5,10,0,2,1
46,4,杭州德艺行汽车服务有限公司,余杭区,良渚街道九曲港路5号1幢103室,15,0,5,10,0,0,1
47,7,杭州逸路安汽车服务有限公司,余杭区,余杭街道杭徽公路68-11,15,0,5,10,0,0,1
48,10,杭州广明汽车服务有限公司,钱塘区,白杨街道东郡之星公寓9幢108室,15,0,5,10,0,0,1
49,12,杭州直通汽车维修有限公司,上城区,多立方公寓1幢102室-2,15,0,5,10,0,0,1
50,16,杭州睿牛汽车服务有限公司,钱塘区,下沙街道海通街1585号,15,0,5,10,0,0,1
51,21,杭州瑞瑶汽车服务有限公司,上城区,空港大道1386-1-212号,15,0,5,10,0,0,1
52,61,杭州酷酷汽车服务有限公司,江干区,浙江省杭州市江干区丁兰街道紫丁香街286号,15,0,5,10,0,0,1
53,72,杭州诺互汽车维修服务有限公司,,杭州市拱墅区三合路杨家春晓-南苑东侧约210米,15,0,5,10,0,0,1
